JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
SESI,JAM,SENIN,,,,,,,,,,,
,,,,,,,,Dosen : AS,,,,,
,07.50 - 08.40,,,,,,,TIPR03 ( C ),,,,,
,,,,,,,,Pemrograman Web Framework,,,,,
,,,,,,,,Dosen : AS,,,,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,,TI402 ( D ),AS,,TI406 ( B ),,TIPR03 ( C ),,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,Pemrograman Web Framework,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,Dosen : AS,,,,,Dosen : HS
,09.40 - 10.30,,TI402 ( D ),AS,,TI406 ( B ),,,,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,,,,,,Dosen : HS
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,,TI402 ( D ),AS,,TI406 ( B ),,,,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,,,,,,Dosen : HS
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,,TI402 ( C ),,,,,TI404 ( E ),TW,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
